GOOG,1477488600,806.15,45
GOOG,195,799.07,155
GOOG,196,799.07,5955
GOOG,197,799.4,5017
GOOG,198,799.75,121
GOOG,199,799.77,1
GOOG,200,799.07,9125
GOOG,201,800.7384,501
GOOG,202,800.7,290
GOOG,203,799.07,4313
GOOG,205,799.07,4863
GOOG,206,800.82,355
GOOG,207,800,347
GOOG,208,799.7,14
GOOG,209,799.87,12
GOOG,210,800,46
GOOG,212,799.84,50
GOOG,213,799.52,36
GOOG,214,799.92,125
GOOG,215,799.91,474
GOOG,216,799.59,17835
GOOG,217,799.55,23
GOOG,218,799.88,56
GOOG,219,799.6,361
GOOG,220,801,34
GOOG,221,799.61,35
GOOG,222,800.1,13
GOOG,223,800.77,73
GOOG,224,799.99,9
GOOG,225,800.1,205
GOOG,226,800.24,20
GOOG,227,799.64,10
GOOG,228,800,13
GOOG,230,800.4,5
GOOG,231,800.17,10
GOOG,232,799.07,14539
GOOG,233,800.18,5
GOOG,235,799.07,2500
GOOG,237,800.17,50
GOOG,239,800.39,15
GOOG,242,800.36,9
GOOG,243,800.39,15
GOOG,245,800.19,2
GOOG,246,800.36,25
GOOG,248,799.07,52
GOOG,251,800,61
GOOG,254,800.4,18
GOOG,257,800.4,100
GOOG,258,800.4,330
GOOG,261,800.4,35
GOOG,263,800.39,20
GOOG,264,800.4,12
GOOG,265,800.4,3
GOOG,266,800,6
GOOG,268,799.07,783
GOOG,271,801,100
GOOG,272,800.39,80
GOOG,281,801,110
GOOG,282,801,11
GOOG,285,801,2
GOOG,286,800.99,105
GOOG,295,800.08,17
GOOG,303,801,6
GOOG,305,801.45,300
GOOG,306,801.5,100
GOOG,314,801.5,10
GOOG,315,801.5,3
GOOG,564,801.66,5
GOOG,573,803.5,82
GOOG,574,803.5,18
GOOG,579,801.82,470
GOOG,584,801.36,100
GOOG,592,801.36,250
GOOG,609,801.9,1
GOOG,632,801.9,2
GOOG,646,801.9,5
GOOG,652,802.9,100
GOOG,653,803,445
GOOG,654,803,6
GOOG,656,803,100
GOOG,657,802.62,6
GOOG,661,802.95,150
GOOG,662,802.95,10
GOOG,664,803,238
GOOG,666,803.5,13
GOOG,668,803.15,10
GOOG,670,803.13,44
GOOG,674,802.35,676
GOOG,675,802.2,72
GOOG,676,802.5,919
GOOG,677,802.4,10
GOOG,678,802.75,505
GOOG,679,802.75,871
GOOG,680,802.75,500
GOOG,681,802.75,770
GOOG,683,803,472
GOOG,684,803.39,304
GOOG,685,803.4,188
GOOG,686,803.5,256
GOOG,687,803.5,630
GOOG,688,803.43,171
GOOG,689,802.75,832
GOOG,690,802.92,660
GOOG,691,802.88,5
GOOG,692,803,335
GOOG,693,803.1,296
GOOG,694,803.1,91
GOOG,695,803.4,188
GOOG,697,803.4,20
GOOG,698,803.95,7
GOOG,701,803.42,124
GOOG,702,803,780
GOOG,704,803,1645
GOOG,705,803,7
GOOG,706,803,17
GOOG,707,803,2
GOOG,708,804.34,70
GOOG,709,802.93,271
GOOG,710,802.92,3
GOOG,711,803,215
GOOG,712,804,120
GOOG,713,803.93,2
GOOG,714,803.93,576
GOOG,715,802.75,106
GOOG,716,802.75,130
GOOG,717,802.75,64
GOOG,718,803.62,100
GOOG,719,802.2,1535
GOOG,720,800.22,3185
